status,label,executed,payload,family,base_i,name,algo,zip,target,lstm_success
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><ScRIPT>alert(document.cookie);</SCriPt>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>&#x61;&#x6c;&#x65;&#x72;&#x74;(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"//www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>&#97;&#108;&#101;&#114;&#116;(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>/drfv/
alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert`document.cookie`;</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,"http://www.nwce.gov.uk/search_process.php?keyword=""><script>alert(document.cookie);</script>",diverse_table2,0.0,,,,,
403,BLOCK,False,http://www.nwce.gov.uk/search_process.php?keyword=><script>alert(document.cookie);</script>,diverse_table2,0.0,,,,,
